accepted_name,early_interval,late_interval,collection_no,environment,formation,lat,lng,max_ma,min_ma
Claraia radialis,Griesbachian,,89359,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Eumorphotis,Griesbachian,,89359,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Pteria ussurica,Griesbachian,,89360,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Pteria ussurica,Griesbachian,,89361,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Claraia,Griesbachian,,89361,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Claraia concentrica,Griesbachian,,89361,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Claraia clarai,Griesbachian,,89361,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Eumorphotis multiformis,Griesbachian,,89361,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Eumorphotis venetiana,Griesbachian,,89361,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Eumorphotis,Griesbachian,,89361,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Eumorphotis inaequicostatus,Griesbachian,,89361,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Towapteria scythica,Griesbachian,,89361,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Claraia,Griesbachian,,89362,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Claraia radialis,Griesbachian,,89362,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Towapteria scythica,Griesbachian,,89362,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Eumorphotis venetiana,Griesbachian,,89362,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Eumorphotis,Griesbachian,,89362,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Claraia,Griesbachian,,89363,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Claraia radialis,Griesbachian,,89363,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Unionites fassaensis,Griesbachian,,89363,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Lingularia tenuissima,Griesbachian,,89363,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Claraia,Griesbachian,,89364,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Claraia stachei,Griesbachian,,89364,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Lingula fuyuanensis,Griesbachian,,89364,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Claraia wangi,Griesbachian,,89365,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Claraia radialis,Griesbachian,,89365,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Claraia aurita,Griesbachian,,89365,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Pteria ussurica,Griesbachian,,89365,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Unionites fassaensis,Griesbachian,,89365,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Lingula fuyuanensis,Griesbachian,,89365,coastal indet.,Feixianguan,28.101999,105.044998,251.902,250.5
Biplatyconcha grandis,Changhsingian,,89371,coastal indet.,Senja,28.75,84.029999,254.14,251.902
Eumorphotis multiformis,Dienerian,,89631,marine indet.,Co Noi,21.148056,104.197502,250.5,249.9
Bronzoria discoides,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Retzia,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Punctospirella fragilis,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Spiriferina (Mentzelia) mentzeli,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Coenothyris vulgaris,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Silesiathyris angusta,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Placunopsis ostracina,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Terquemia,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Terquemia,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Pecten discites,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Prospondylus,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Lima subpunctata,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Plagiostoma striatum,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Lima lineata,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Lima costata,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Eopecten,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Cassianella,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Hoernesia socialis,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Hoernesia,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Bakevellia costata,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Gervillia mytiloides,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Promysidiella eduliformis,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Catella impressa,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Myoconcha giebeli,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Myophoria vulgaris,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Neoschizodus laevigatus,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Neoschizodus cardissoides,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Lyrodon curvirostre,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Elegantinia elegans,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Cypricardia,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Unicardium schmidii,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Unicardium,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Pleuromya,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Nucula goldfussii,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Undularia scalata,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Loxonema (Polygyrina) lommeli,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Loxonema obsoleta,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Pseudomelania (Rhabdoconcha),Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Euomphalus (Straparollus) exiguus,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Euomphalus,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Omphaloptycha,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Omphaloptycha,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Worthenia,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Coelostylina gregaria,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Noetlingites strombecki,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Beneckeia buchi,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Balatonites ottonis,Anisian,,63538,marginal marine indet.,Wellenkalk,50.299999,18.966667,246.7,241.464
Warthia zakharovi,Griesbachian,,90201,submarine fan,Lazurnaya Bay,42.9249,132.427902,251.902,250.5
Promyalina putiatinensis,Griesbachian,,90201,submarine fan,Lazurnaya Bay,42.9249,132.427902,251.902,250.5
Lytophiceras,Griesbachian,,90201,submarine fan,Lazurnaya Bay,42.9249,132.427902,251.902,250.5
Orbiculoidea,Griesbachian,,90201,submarine fan,Lazurnaya Bay,42.9249,132.427902,251.902,250.5
Lingularia borealis,Griesbachian,,90202,submarine fan,Lazurnaya Bay,42.924999,132.427902,251.902,250.5
Orbiculoidea,Griesbachian,,90202,submarine fan,Lazurnaya Bay,42.924999,132.427902,251.902,250.5
Lingularia borealis,Griesbachian,,90203,submarine fan,Lazurnaya Bay,42.924999,132.427994,251.902,250.5
Orbiculoidea,Griesbachian,,90203,submarine fan,Lazurnaya Bay,42.924999,132.427994,251.902,250.5
Claraia stachei,Griesbachian,,90204,submarine fan,Lazurnaya Bay,42.924999,132.427994,251.902,250.5
Lytophiceras,Griesbachian,,90204,submarine fan,Lazurnaya Bay,42.924999,132.427994,251.902,250.5
Tompophiceras,Griesbachian,,90204,submarine fan,Lazurnaya Bay,42.924999,132.427994,251.902,250.5
Warthia zakharovi,Griesbachian,,90205,submarine fan,Lazurnaya Bay,42.925098,132.427994,251.902,250.5
Bukkenites,Griesbachian,,90205,submarine fan,Lazurnaya Bay,42.925098,132.427994,251.902,250.5
Lingularia borealis,Griesbachian,,90205,submarine fan,Lazurnaya Bay,42.925098,132.427994,251.902,250.5
Orbiculoidea,Griesbachian,,90205,submarine fan,Lazurnaya Bay,42.925098,132.427994,251.902,250.5
Abrekia sulcata,Griesbachian,,90205,submarine fan,Lazurnaya Bay,42.925098,132.427994,251.902,250.5
Rhynchonellidae,Griesbachian,,90205,submarine fan,Lazurnaya Bay,42.925098,132.427994,251.902,250.5
Nudirostralina,Griesbachian,,90205,submarine fan,Lazurnaya Bay,42.925098,132.427994,251.902,250.5
Wellerellidae,Griesbachian,,90205,submarine fan,Lazurnaya Bay,42.925098,132.427994,251.902,250.5
Wellerellidae,Griesbachian,,90205,submarine fan,Lazurnaya Bay,42.925098,132.427994,251.902,250.5
Pontisiinae,Griesbachian,,90205,submarine fan,Lazurnaya Bay,42.925098,132.427994,251.902,250.5
Lytophiceras,Griesbachian,,90206,submarine fan,Lazurnaya Bay,42.925201,132.427994,251.902,250.5
Pseudoproptychites hiemalis,Griesbachian,,90206,submarine fan,Lazurnaya Bay,42.925201,132.427994,251.902,250.5
Ussuridiscus varaha,Griesbachian,,90206,submarine fan,Lazurnaya Bay,42.925201,132.427994,251.902,250.5
Dicellonema abrekensis,Griesbachian,,90207,submarine fan,Lazurnaya Bay,42.925201,132.427704,251.902,250.5
Worthenia,Griesbachian,,90207,submarine fan,Lazurnaya Bay,42.925201,132.427704,251.902,250.5
Abrekopsis depresispirus,Griesbachian,,90207,submarine fan,Lazurnaya Bay,42.925201,132.427704,251.902,250.5
Coelostylina,Griesbachian,,90207,submarine fan,Lazurnaya Bay,42.925201,132.427704,251.902,250.5
Claraia stachei,Griesbachian,,90207,submarine fan,Lazurnaya Bay,42.925201,132.427704,251.902,250.5
Promyalina schamarae,Griesbachian,,90207,submarine fan,Lazurnaya Bay,42.925201,132.427704,251.902,250.5
Ochotomya,Griesbachian,,90207,submarine fan,Lazurnaya Bay,42.925201,132.427704,251.902,250.5
Modiolus,Griesbachian,,90207,submarine fan,Lazurnaya Bay,42.925201,132.427704,251.902,250.5
Myoconcha,Griesbachian,,90207,submarine fan,Lazurnaya Bay,42.925201,132.427704,251.902,250.5
Pteria ussurica,Griesbachian,,90207,submarine fan,Lazurnaya Bay,42.925201,132.427704,251.902,250.5
Leptochondria minima,Griesbachian,,90207,submarine fan,Lazurnaya Bay,42.925201,132.427704,251.902,250.5
Austrotindaria antiqua,Griesbachian,,90207,submarine fan,Lazurnaya Bay,42.925201,132.427704,251.902,250.5
Unionites canalensis,Griesbachian,,90207,submarine fan,Lazurnaya Bay,42.925201,132.427704,251.902,250.5
Unionites subrectus,Griesbachian,,90207,submarine fan,Lazurnaya Bay,42.925201,132.427704,251.902,250.5
Neoschizodus laevigatus,Griesbachian,,90207,submarine fan,Lazurnaya Bay,42.925201,132.427704,251.902,250.5
Pseudoproptychites hiemalis,Griesbachian,,90207,submarine fan,Lazurnaya Bay,42.925201,132.427704,251.902,250.5
Ussuridiscus varaha,Griesbachian,,90207,submarine fan,Lazurnaya Bay,42.925201,132.427704,251.902,250.5
Wordieoceras wordiei,Griesbachian,,90207,submarine fan,Lazurnaya Bay,42.925201,132.427704,251.902,250.5
Dunedinites magnumbilicatus,Griesbachian,,90207,submarine fan,Lazurnaya Bay,42.925201,132.427704,251.902,250.5
Gyronites subdharmus,Griesbachian,,90207,submarine fan,Lazurnaya Bay,42.925201,132.427704,251.902,250.5
Omphaloptycha hormolira,Griesbachian,,90208,submarine fan,Lazurnaya Bay,42.9254,132.427704,251.902,250.5
Ussuridiscus varaha,Griesbachian,,90208,submarine fan,Lazurnaya Bay,42.9254,132.427704,251.902,250.5
Gyronites subdharmus,Griesbachian,,90208,submarine fan,Lazurnaya Bay,42.9254,132.427704,251.902,250.5
Pachyproptychites otoceratoides,Griesbachian,,90208,submarine fan,Lazurnaya Bay,42.9254,132.427704,251.902,250.5
Dicellonema abrekensis,Dienerian,,90209,submarine fan,Lazurnaya Bay,42.9254,132.427902,250.5,249.9
Claraia stachei,Dienerian,,90209,submarine fan,Lazurnaya Bay,42.9254,132.427902,250.5,249.9
Promyalina schamarae,Dienerian,,90209,submarine fan,Lazurnaya Bay,42.9254,132.427902,250.5,249.9
Austrotindaria antiqua,Dienerian,,90209,submarine fan,Lazurnaya Bay,42.9254,132.427902,250.5,249.9
Ambites lilangensis,Dienerian,,90209,submarine fan,Lazurnaya Bay,42.9254,132.427902,250.5,249.9
Dicellonema abrekensis,Dienerian,,90210,submarine fan,Zhitkov,42.925499,132.427704,250.5,249.9
Abrekopsis depresispirus,Dienerian,,90210,submarine fan,Zhitkov,42.925499,132.427704,250.5,249.9
Strobeus shigetai,Dienerian,,90210,submarine fan,Zhitkov,42.925499,132.427704,250.5,249.9
Pteria ussurica,Dienerian,,90210,submarine fan,Zhitkov,42.925499,132.427704,250.5,249.9
Neoschizodus ovatus,Dienerian,,90210,submarine fan,Zhitkov,42.925499,132.427704,250.5,249.9
Ussuridiscus varaha,Dienerian,,90210,submarine fan,Zhitkov,42.925499,132.427704,250.5,249.9
Ambites lilangensis,Dienerian,,90210,submarine fan,Zhitkov,42.925499,132.427704,250.5,249.9
Proptychites ammonoides,Dienerian,,90210,submarine fan,Zhitkov,42.925499,132.427704,250.5,249.9
Gyronites,Dienerian,,90210,submarine fan,Zhitkov,42.925499,132.427704,250.5,249.9
Chartronella maedai,Dienerian,,90211,submarine fan,Zhitkov,42.925598,132.427704,250.5,249.9
Trachyspiridae,Dienerian,,90211,submarine fan,Zhitkov,42.925598,132.427704,250.5,249.9
Abrekopsis depresispirus,Dienerian,,90211,submarine fan,Zhitkov,42.925598,132.427704,250.5,249.9
Strobeus shigetai,Dienerian,,90211,submarine fan,Zhitkov,42.925598,132.427704,250.5,249.9
Pteria ussurica,Dienerian,,90211,submarine fan,Zhitkov,42.925598,132.427704,250.5,249.9
Leptochondria minima,Dienerian,,90211,submarine fan,Zhitkov,42.925598,132.427704,250.5,249.9
Austrotindaria antiqua,Dienerian,,90211,submarine fan,Zhitkov,42.925598,132.427704,250.5,249.9
Entolioides,Dienerian,,90211,submarine fan,Zhitkov,42.925598,132.427704,250.5,249.9
Eumorphotis multiformis,Dienerian,,90211,submarine fan,Zhitkov,42.925598,132.427704,250.5,249.9
Ambitoides orientalis,Dienerian,,90211,submarine fan,Zhitkov,42.925598,132.427704,250.5,249.9
Vishnuites,Dienerian,,90211,submarine fan,Zhitkov,42.925598,132.427704,250.5,249.9
Parahedenstroemia kiparisovae,Dienerian,,90211,submarine fan,Zhitkov,42.925598,132.427704,250.5,249.9
Clypites typicus,Dienerian,,90211,submarine fan,Zhitkov,42.925598,132.427704,250.5,249.9
Warthia zakharovi,Dienerian,,90218,submarine fan,Zhitkov,42.9258,132.427505,250.5,249.9
Abrekopsis depresispirus,Dienerian,,90218,submarine fan,Zhitkov,42.9258,132.427505,250.5,249.9
Ussuriflemingites abrekensis,Dienerian,,90218,submarine fan,Zhitkov,42.9258,132.427505,250.5,249.9
Paranorites varians,Dienerian,,90218,submarine fan,Zhitkov,42.9258,132.427505,250.5,249.9
Paranorites varians,Dienerian,,90219,submarine fan,Zhitkov,42.925999,132.427505,250.5,249.9
Kummelia,Dienerian,,90219,submarine fan,Zhitkov,42.925999,132.427505,250.5,249.9
Warthia zakharovi,Smithian,,90220,submarine fan,Zhitkov,42.926102,132.427505,249.9,248.1
Leptochondria minima,Smithian,,90220,submarine fan,Zhitkov,42.926102,132.427505,249.9,248.1
Unionites canalensis,Smithian,,90220,submarine fan,Zhitkov,42.926102,132.427505,249.9,248.1
Unionites subrectus,Smithian,,90220,submarine fan,Zhitkov,42.926102,132.427505,249.9,248.1
Neoschizodus laevigatus,Smithian,,90220,submarine fan,Zhitkov,42.926102,132.427505,249.9,248.1
Bakevellia,Smithian,,90220,submarine fan,Zhitkov,42.926102,132.427505,249.9,248.1
Trigonodus orientalis,Smithian,,90220,submarine fan,Zhitkov,42.926102,132.427505,249.9,248.1
Abrekites editus,Smithian,,90220,submarine fan,Zhitkov,42.926102,132.427505,249.9,248.1
Abrekites planus,Smithian,,90220,submarine fan,Zhitkov,42.926102,132.427505,249.9,248.1
Rohillites laevis,Smithian,,90220,submarine fan,Zhitkov,42.926102,132.427505,249.9,248.1
Shamaraites schamarensis,Smithian,,90220,submarine fan,Zhitkov,42.926102,132.427505,249.9,248.1
Ussuriflemingites primoriensis,Smithian,,90220,submarine fan,Zhitkov,42.926102,132.427505,249.9,248.1
Palaeokazachstanites ussuriensis,Smithian,,90220,submarine fan,Zhitkov,42.926102,132.427505,249.9,248.1
Radioceras timorense,Smithian,,90220,submarine fan,Zhitkov,42.926102,132.427505,249.9,248.1
Unionites subrectus,Smithian,,90221,submarine fan,Zhitkov,42.926201,132.428101,249.9,248.1
Radioceras timorense,Smithian,,90221,submarine fan,Zhitkov,42.926201,132.428101,249.9,248.1
Pseudosageceras multilobatum,Smithian,,90221,submarine fan,Zhitkov,42.926201,132.428101,249.9,248.1
Prosphingitoides,Smithian,,90221,submarine fan,Zhitkov,42.926201,132.428101,249.9,248.1
Arctoceras septentrionale,Smithian,,90221,submarine fan,Zhitkov,42.926201,132.428101,249.9,248.1
Abrekia sulcata,Smithian,,90221,submarine fan,Zhitkov,42.926201,132.428101,249.9,248.1
Radioceras timorense,Smithian,,90222,submarine fan,Zhitkov,42.926399,132.428101,249.9,248.1
Pseudosageceras multilobatum,Smithian,,90222,submarine fan,Zhitkov,42.926399,132.428101,249.9,248.1
Arctoceras septentrionale,Smithian,,90222,submarine fan,Zhitkov,42.926399,132.428101,249.9,248.1
Arctoceras septentrionale,Smithian,,90223,submarine fan,Zhitkov,42.926601,132.427795,249.9,248.1
Radioprionites abrekensis,Smithian,,90223,submarine fan,Zhitkov,42.926601,132.427795,249.9,248.1
Balhaeceras balhaense,Smithian,,90224,submarine fan,Zhitkov,42.926701,132.427795,249.9,248.1
Hemiprionites,Smithian,,90224,submarine fan,Zhitkov,42.926701,132.427795,249.9,248.1
Prosphingitoides,Smithian,,90225,submarine fan,Zhitkov,42.926701,132.427704,249.9,248.1
Submeekoceras subhydaspis,Smithian,,90225,submarine fan,Zhitkov,42.926701,132.427704,249.9,248.1
Euflemingites prynadai,Smithian,,90225,submarine fan,Zhitkov,42.926701,132.427704,249.9,248.1
Columbites parisianus,Spathian,,90300,marine indet.,Thaynes,42.138889,-111.224998,248.1,246.7
Bajarunia,Spathian,,90300,marine indet.,Thaynes,42.138889,-111.224998,248.1,246.7
Bajarunia,Spathian,,90300,marine indet.,Thaynes,42.138889,-111.224998,248.1,246.7
Rudolftruempyiceras,Spathian,,90300,marine indet.,Thaynes,42.138889,-111.224998,248.1,246.7
Xenoceltites spencei,Spathian,,90300,marine indet.,Thaynes,42.138889,-111.224998,248.1,246.7
Pseudosageceras multilobatum,Spathian,,90300,marine indet.,Thaynes,42.138889,-111.224998,248.1,246.7
Orthothetina ruber,Changhsingian,,90372,carbonate indet.,Changxing,29.4923,106.403099,254.14,251.902
Spinomarginifera kueichowensis,Changhsingian,,90372,carbonate indet.,Changxing,29.4923,106.403099,254.14,251.902
Acosarina,Changhsingian,,90372,carbonate indet.,Changxing,29.4923,106.403099,254.14,251.902
Orthothetina regularis,Changhsingian,,90373,carbonate indet.,Changxing,29.4923,106.403099,254.14,251.902
Cathaysia chonetoides,Changhsingian,,90373,carbonate indet.,Changxing,29.4923,106.403099,254.14,251.902
Araxathyris sinensis,Changhsingian,,90373,carbonate indet.,Changxing,29.4923,106.403099,254.14,251.902
Qinglongia,Changhsingian,,90373,carbonate indet.,Changxing,29.4923,106.403099,254.14,251.902
Claraia dieneri,Griesbachian,,44354,marine indet.,Xikou,26.049999,117.199997,251.902,250.5
Claraia hunanica,Griesbachian,,44354,marine indet.,Xikou,26.049999,117.199997,251.902,250.5
Peribositra bioni,Griesbachian,,44354,marine indet.,Xikou,26.049999,117.199997,251.902,250.5
Fusichonetes pygmaea,Changhsingian,,91617,marine indet.,Wangjiazhai,26.129999,105.349998,254.14,251.902
Fusichonetes quadrata,Changhsingian,,91617,marine indet.,Wangjiazhai,26.129999,105.349998,254.14,251.902
Proavites hueffeli,Pelsonian,,91920,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Proavites,Pelsonian,,91925,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Norites gondola,Pelsonian,,91923,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Norites,Pelsonian,,91917,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Acrochordiceras,Pelsonian,,91925,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Balatonites balatonicus,Pelsonian,,91926,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Balatonites egregius,Pelsonian,,91925,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Bulogites mojsvari,Pelsonian,,91915,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Bulogites,Pelsonian,,91915,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Beyrichites,Pelsonian,,91913,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Norites gondola,Pelsonian,,91919,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Norites gondola,Pelsonian,,91921,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Norites gondola,Pelsonian,,91922,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Balatonites balatonicus,Pelsonian,,91916,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Balatonites balatonicus,Pelsonian,,91917,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Balatonites balatonicus,Pelsonian,,91918,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Balatonites balatonicus,Pelsonian,,91920,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Balatonites balatonicus,Pelsonian,,91921,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Balatonites balatonicus,Pelsonian,,91922,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Balatonites balatonicus,Pelsonian,,91923,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Balatonites balatonicus,Pelsonian,,91924,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Balatonites balatonicus,Pelsonian,,91925,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Schreyerites ragazzonii,Pelsonian,,91914,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Schreyerites binodosus,Pelsonian,,91914,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Discoptychites,Pelsonian,,91925,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Discoptychites,Pelsonian,,91926,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Discoptychites,Pelsonian,,91924,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Ptychites,Pelsonian,,91925,offshore shelf,Felsoörs,46.950001,17.700001,244.24,243.33
Proavites hueffeli,Pelsonian,,91935,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
Bulogites zoldianus,Pelsonian,,91944,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
Bulogites,Pelsonian,,91944,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
Bulogites,Pelsonian,,91945,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
Beyrichites beneckei,Pelsonian,,91927,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
Beyrichites beneckei,Pelsonian,,91930,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
Beyrichites beneckei,Pelsonian,,91931,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
Beyrichites beneckei,Pelsonian,,91934,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
Beyrichites beneckei,Pelsonian,,91935,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
Beyrichites beneckei,Pelsonian,,91936,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
Beyrichites beneckei,Pelsonian,,91937,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
Beyrichites beneckei,Pelsonian,,91938,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
Beyrichites beneckei,Pelsonian,,91940,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
Beyrichites beneckei,Pelsonian,,91941,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
Beyrichites beneckei,Pelsonian,,91942,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
Beyrichites beneckei,Pelsonian,,91944,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
Beyrichites beneckei,Pelsonian,,91945,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
Beyrichites reuttensis,Pelsonian,,91933,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
Beyrichites,Pelsonian,,91927,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
Beyrichites,Pelsonian,,91928,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
Beyrichites,Pelsonian,,91929,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
Beyrichites,Pelsonian,,91930,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
Beyrichites,Pelsonian,,91932,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
Beyrichites,Pelsonian,,91933,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
Beyrichites,Pelsonian,,91935,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
Beyrichites,Pelsonian,,91937,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
Beyrichites,Pelsonian,,91938,deep-water indet.,Felsoörs,46.933334,17.833332,244.24,243.33
