genus,interval,survived,occurrence_count,collection_count,environment_breadth,formation_breadth,duration,sampling_intensity,lat_range,lng_range,lazarus
Pleurotomaria,Changhsingian,1,18,16,2,5,6,18,107.78766999999999,158.874746,1
Pleurotomaria,Griesbachian,0,18,16,2,5,6,18,107.78766999999999,158.874746,1
Pleurotomaria,Smithian,1,18,16,2,5,6,18,107.78766999999999,158.874746,1
Pleurotomaria,Spathian,0,18,16,2,5,6,18,107.78766999999999,158.874746,1
Pleurotomaria,Pelsonian,0,18,16,2,5,6,18,107.78766999999999,158.874746,1
Pleurotomarioidea,Changhsingian,0,3,3,3,2,1,3,65.18132299999999,64.27015699999998,0
Plicatifera,Changhsingian,0,9,9,3,4,2,9,10.050002,28.137009000000006,0
Plicatifera,Smithian,0,9,9,3,4,2,9,10.050002,28.137009000000006,0
Plicatula,Pelsonian,0,2,2,1,1,1,2,0.0,0.0,0
Plicatus,Changhsingian,0,2,1,1,1,1,2,0.0,0.0,0
Plicochonetes,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Plocezyga,Changhsingian,0,2,1,1,1,1,2,0.0,0.0,0
Polidevcia,Changhsingian,0,8,8,2,2,2,8,9.151668999999998,28.766662999999994,0
Polidevcia,Pelsonian,0,8,8,2,2,2,8,9.151668999999998,28.766662999999994,0
Polinices,Spathian,0,7,6,4,2,3,7,7.806109999999997,11.916667,0
Polinices,Illyrian,1,7,6,4,2,3,7,7.806109999999997,11.916667,0
Polygyrina,Changhsingian,1,32,29,13,14,9,32,25.588055,223.01111600000002,1
Polygyrina,Griesbachian,1,32,29,13,14,9,32,25.588055,223.01111600000002,1
Polygyrina,Dienerian,1,32,29,13,14,9,32,25.588055,223.01111600000002,1
Polygyrina,Smithian,1,32,29,13,14,9,32,25.588055,223.01111600000002,1
Polygyrina,Spathian,0,32,29,13,14,9,32,25.588055,223.01111600000002,1
Polygyrina,Bithynian,1,32,29,13,14,9,32,25.588055,223.01111600000002,1
Polygyrina,Pelsonian,1,32,29,13,14,9,32,25.588055,223.01111600000002,1
Polygyrina,Illyrian,1,32,29,13,14,9,32,25.588055,223.01111600000002,1
Pondospirifer,Changhsingian,0,8,6,2,1,1,8,0.7720020000000005,1.0780029999999954,0
Pontisiinae,Griesbachian,0,1,1,1,1,1,1,0.0,0.0,0
Popanoceras,Spathian,0,3,3,3,2,3,3,37.72749799999999,245.231109,0
