genus,interval,survived,occurrence_count,collection_count,environment_breadth,formation_breadth,duration,sampling_intensity,lat_range,lng_range,lazarus
Pteria,Bithynian,1,182,148,15,27,8,182,58.794275000000006,256.732865,1
Pteria,Pelsonian,0,182,148,15,27,8,182,58.794275000000006,256.732865,1
Pterineidae,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Pterinopectinidae,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Pterioida,Changhsingian,0,4,4,2,2,2,4,18.491598,213.643234,0
Pterioida,Spathian,0,4,4,2,2,2,4,18.491598,213.643234,0
Pterioidea,Changhsingian,0,3,3,2,3,2,3,11.834999,230.41999800000002,0
Pterioidea,Spathian,0,3,3,2,3,2,3,11.834999,230.41999800000002,0
Pteroclaraia,Dienerian,0,1,1,1,1,1,1,0.0,0.0,0
Pteronites,Changhsingian,0,1,1,1,0,1,1,0.0,0.0,0
Pteroplecta,Changhsingian,0,28,28,2,1,1,28,0.9269999999999996,1.24600199999999,0
Ptychites,Aegean,1,200,153,8,30,5,200,124.464882,292.803742,0
Ptychites,Bithynian,1,200,153,8,30,5,200,124.464882,292.803742,0
Ptychites,Pelsonian,1,200,153,8,30,5,200,124.464882,292.803742,0
Ptychites,Illyrian,1,200,153,8,30,5,200,124.464882,292.803742,0
Ptychobellerophon,Changhsingian,0,2,2,2,1,1,2,0.10999800000000093,0.1800010000000043,0
Ptychomentzelia,Aegean,1,35,34,2,1,3,35,4.2784989999999965,0.4285010000000007,0
Ptychomentzelia,Bithynian,1,35,34,2,1,3,35,4.2784989999999965,0.4285010000000007,0
Ptychomentzelia,Pelsonian,0,35,34,2,1,3,35,4.2784989999999965,0.4285010000000007,0
Ptychomphalina,Changhsingian,0,5,5,3,2,2,5,19.174999,63.149998,0
Ptychopteria,Changhsingian,0,2,2,2,2,1,2,0.18999799999999922,0.8099980000000073,0
Ptychosphaera,Changhsingian,0,2,2,1,0,1,2,0.0,0.0,0
Ptychosphaerites,Pelsonian,0,2,2,1,1,1,2,0.01099800000000073,0.023999999999999133,0
Pugnax,Changhsingian,0,2,2,1,1,1,2,3.0499989999999997,7.69999700000001,0
Punctospirella,Bithynian,1,56,56,9,12,4,56,25.986665000000002,96.08860800000001,0
Punctospirella,Pelsonian,1,56,56,9,12,4,56,25.986665000000002,96.08860800000001,0
Punctospirella,Illyrian,1,56,56,9,12,4,56,25.986665000000002,96.08860800000001,0
Punctospirifer,Changhsingian,0,3,3,3,3,1,3,8.199998999999998,25.915001000000004,0
Punjabites,Smithian,0,5,5,2,2,1,5,4.087001999999998,14.167000000000002,0
Pustula,Changhsingian,1,8,8,1,1,2,8,9.959999000000003,34.68,0
Pustula,Griesbachian,0,8,8,1,1,2,8,9.959999000000003,34.68,0
Pustuloplica,Changhsingian,0,1,1,1,0,1,1,0.0,0.0,0
Pygmochonetes,Changhsingian,0,8,8,4,3,1,8,7.222201000000002,2.412002000000001,0
Pyramus,Changhsingian,0,6,6,1,3,1,6,8.824002,52.228995999999995,0
Qianjiangoceras,Changhsingian,0,16,15,5,5,1,16,10.044100000000004,12.357002999999992,0
Qinghaispiriferina,Aegean,0,3,3,2,2,2,3,2.270279000000002,0.6525039999999933,0
Qinglongia,Changhsingian,0,22,16,3,2,1,22,3.6422999999999988,12.150002,0
Qinglongites,Changhsingian,0,16,11,3,1,1,16,5.920000000000002,13.75,0
Qingyenia,Pelsonian,0,11,11,3,1,1,11,0.010668000000002564,0.01027700000000209,0
Quinquenella,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Radioceras,Dienerian,1,31,29,6,12,2,31,56.66315,250.453103,0
Radioceras,Smithian,0,31,29,6,12,2,31,56.66315,250.453103,0
Radioprionites,Smithian,0,1,1,1,1,1,1,0.0,0.0,0
Ramonalina,Pelsonian,0,3,3,2,1,2,3,0.03333200000000147,0.06666500000000042,1
Ramusatomaria,Illyrian,0,1,1,1,1,1,1,0.0,0.0,0
Rasatomaria,Bithynian,0,10,10,4,4,2,10,1.3918990000000022,20.255333,1
Rasatomaria,Illyrian,0,10,10,4,4,2,10,1.3918990000000022,20.255333,1
Rectambitus,Changhsingian,0,5,3,3,3,1,5,7.530000999999999,3.485000999999997,0
Reiflingites,Bithynian,1,13,8,1,5,3,13,17.673997999999997,80.15550200000001,0
Reiflingites,Pelsonian,1,13,8,1,5,3,13,17.673997999999997,80.15550200000001,0
Reiflingites,Illyrian,0,13,8,1,5,3,13,17.673997999999997,80.15550200000001,0
Reitziites,Illyrian,0,47,36,4,5,1,47,9.536667000000001,12.695557,0
Repossia,Illyrian,0,14,13,4,4,1,14,1.106944999999996,8.998332999999999,0
Reticulariina,Changhsingian,0,8,8,2,1,1,8,9.229,60.537003,0
Reticulatia,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Retimarginifera,Changhsingian,0,8,8,3,3,1,8,2.4055549999999997,6.148887000000002,0
Retiogastrioceras,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Retispira,Changhsingian,1,27,23,5,11,2,27,18.880001,217.512001,0
Retispira,Griesbachian,0,27,23,5,11,2,27,18.880001,217.512001,0
Retzia,Changhsingian,0,12,12,3,3,3,12,21.389999,95.523055,1
Retzia,Pelsonian,0,12,12,3,3,3,12,21.389999,95.523055,1
Rhaetina,Spathian,0,2,2,2,2,2,2,1.908500999999994,141.124502,1
Rhaetina,Bithynian,0,2,2,2,2,2,2,1.908500999999994,141.124502,1
Rhaphistomella,Changhsingian,0,5,5,3,2,2,5,22.803331,86.475002,0
Rhaphistomella,Pelsonian,0,5,5,3,2,2,5,22.803331,86.475002,0
Rhipidomella,Changhsingian,0,11,11,4,4,1,11,22.623001,84.179001,0
Rhynchonella,Spathian,0,40,29,4,9,4,40,76.349446,145.79722,0
Rhynchonella,Pelsonian,1,40,29,4,9,4,40,76.349446,145.79722,0
Rhynchonella,Illyrian,1,40,29,4,9,4,40,76.349446,145.79722,0
Rhynchonellata,Griesbachian,0,2,2,1,1,1,2,0.011946000000001789,0.00389099999999587,0
Rhynchonellida,Changhsingian,1,18,18,5,7,6,18,16.695555,246.606949,1
Rhynchonellida,Griesbachian,0,18,18,5,7,6,18,16.695555,246.606949,1
Rhynchonellida,Smithian,1,18,18,5,7,6,18,16.695555,246.606949,1
Rhynchonellida,Spathian,0,18,18,5,7,6,18,16.695555,246.606949,1
Rhynchonellida,Pelsonian,0,18,18,5,7,6,18,16.695555,246.606949,1
Rhynchonellidae,Changhsingian,1,5,5,3,2,3,5,38.775098,245.677994,0
Rhynchonellidae,Griesbachian,0,5,5,3,2,3,5,38.775098,245.677994,0
Rhynchonellidae,Spathian,0,5,5,3,2,3,5,38.775098,245.677994,0
Rhynchonelliformea,Changhsingian,1,3,3,2,2,2,3,8.120933999999998,35.483902,0
Rhynchonelliformea,Griesbachian,0,3,3,2,2,2,3,8.120933999999998,35.483902,0
Rhynchopterus,Illyrian,0,3,3,2,1,1,3,0.7200010000000034,0.7099989999999963,0
Richthofenia,Changhsingian,0,24,19,6,5,1,24,18.149999999999995,100.97699800000001,0
Richthofeniidae,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Rieberites,Illyrian,0,1,1,1,0,1,1,0.0,0.0,0
Rieppelites,Pelsonian,1,50,45,3,4,3,50,21.345999,224.250999,0
Rieppelites,Illyrian,1,50,45,3,4,3,50,21.345999,224.250999,0
Rinaldoella,Pelsonian,0,6,6,2,2,2,6,7.606000999999999,3.735000999999997,1
Riselloidea,Pelsonian,0,3,3,2,1,2,3,0.0033320000000003347,0.006668000000004781,1
Robinsonites,Aegean,1,3,3,3,2,2,3,1.0335010000000011,11.668602000000003,0
Robinsonites,Bithynian,0,3,3,3,2,2,3,1.0335010000000011,11.668602000000003,0
Rohillites,Smithian,0,15,14,6,4,1,15,20.572151,74.59750299999999,0
Romaniamya,Bithynian,0,1,1,1,1,1,1,0.0,0.0,0
Ronconites,Illyrian,0,5,5,1,3,1,5,11.325279000000002,12.843832999999998,0
Rongjiangoceras,Changhsingian,0,3,3,3,3,1,3,7.399999999999999,10.474998,0
Roopnarinites,Smithian,0,1,1,1,0,1,1,0.0,0.0,0
Rostranteris,Changhsingian,0,5,5,4,3,1,5,7.530000999999999,6.17500299999999,0
Rotodiscoceras,Changhsingian,0,44,38,9,8,1,44,15.180997999999995,36.325997,0
Royalella,Changhsingian,0,3,1,1,1,1,3,0.0,0.0,0
Rudolftruempyiceras,Spathian,0,31,21,3,2,1,31,32.834995,256.891998,0
Rufilla,Illyrian,0,6,4,1,1,1,6,0.10599899999999707,0.1875,0
Rugaria,Changhsingian,0,5,4,1,1,1,5,0.0,0.0,0
Rugiclaraia,Dienerian,0,1,1,1,1,1,1,0.0,0.0,0
Rugicostella,Changhsingian,0,1,1,1,0,1,1,0.0,0.0,0
Rugivestis,Changhsingian,0,5,5,3,1,1,5,0.003232999999998043,0.008667000000002645,0
Rutorhynchia,Pelsonian,0,1,1,1,1,1,1,0.0,0.0,0
Sabaliceras,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Sacothyris,Pelsonian,0,10,10,3,1,1,10,0.010668000000002564,0.011109000000004698,0
Saeptathaerus,Changhsingian,0,9,8,2,1,1,9,0.9200000000000017,1.2320019999999943,0
Safraites,Smithian,0,5,5,1,0,1,5,0.0,0.0,0
Sageceras,Changhsingian,0,29,29,4,6,6,29,57.506831999999996,242.72283099999999,0
Sageceras,Aegean,1,29,29,4,6,6,29,57.506831999999996,242.72283099999999,0
Sageceras,Bithynian,1,29,29,4,6,6,29,57.506831999999996,242.72283099999999,0
Sageceras,Pelsonian,1,29,29,4,6,6,29,57.506831999999996,242.72283099999999,0
Sageceras,Illyrian,1,29,29,4,6,6,29,57.506831999999996,242.72283099999999,0
Sakhaites,Dienerian,1,10,7,1,0,2,10,9.616669000000002,37.300003000000004,0
Sakhaites,Smithian,0,10,7,1,0,2,10,9.616669000000002,37.300003000000004,0
Sakhaitoides,Dienerian,0,11,8,1,0,1,11,0.9000020000000006,7.149993999999992,0
Sanguinolites,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Sarepta,Changhsingian,0,6,6,1,2,4,6,11.799994999999996,26.48500100000001,0
Sarepta,Spathian,1,6,6,1,2,4,6,11.799994999999996,26.48500100000001,0
Sarepta,Aegean,0,6,6,1,2,4,6,11.799994999999996,26.48500100000001,0
Sarepta,Illyrian,0,6,6,1,2,4,6,11.799994999999996,26.48500100000001,0
Sarytchevinella,Changhsingian,0,5,5,2,3,1,5,7.798000999999999,5.9680019999999985,0
Scacchinella,Changhsingian,0,9,9,3,2,1,9,6.519995999999999,34.764998999999996,0
Schafhaeutlia,Griesbachian,0,62,51,9,13,7,62,55.462997,136.949997,0
Schafhaeutlia,Spathian,1,62,51,9,13,7,62,55.462997,136.949997,0
Schafhaeutlia,Aegean,1,62,51,9,13,7,62,55.462997,136.949997,0
Schafhaeutlia,Bithynian,1,62,51,9,13,7,62,55.462997,136.949997,0
Schafhaeutlia,Pelsonian,1,62,51,9,13,7,62,55.462997,136.949997,0
Schafhaeutlia,Illyrian,1,62,51,9,13,7,62,55.462997,136.949997,0
Schellwienella,Changhsingian,0,6,6,2,2,1,6,5.309999999999999,2.3850029999999975,0
Schizodus,Changhsingian,0,59,45,6,11,1,59,92.32819799999999,272.435555,0
Schizogonium,Pelsonian,1,8,8,3,2,3,8,20.113699000000004,95.01770200000001,0
Schizogonium,Illyrian,1,8,8,3,2,3,8,20.113699000000004,95.01770200000001,0
Schizoloboceras,Changhsingian,0,2,2,1,1,1,2,3.219999999999999,0.34999899999999684,0
Schizophoria,Changhsingian,0,2,2,1,2,1,2,6.699998999999998,2.4250040000000013,0
Schrenkiella,Changhsingian,0,4,4,2,2,1,4,0.7640000000000029,0.3119959999999935,0
Schreyerites,Pelsonian,1,64,60,7,10,3,64,21.342667,97.003334,0
Schreyerites,Illyrian,1,64,60,7,10,3,64,21.342667,97.003334,0
Schuchertella,Changhsingian,0,12,12,4,6,1,12,25.226665999999998,96.18399699999999,0
Schwagerispira,Smithian,0,75,69,6,11,6,75,21.666668,95.984443,1
Schwagerispira,Aegean,1,75,69,6,11,6,75,21.666668,95.984443,1
Schwagerispira,Bithynian,1,75,69,6,11,6,75,21.666668,95.984443,1
Schwagerispira,Pelsonian,1,75,69,6,11,6,75,21.666668,95.984443,1
Schwagerispira,Illyrian,1,75,69,6,11,6,75,21.666668,95.984443,1
Scurriopsis,Spathian,0,3,3,3,1,3,3,9.046669000000001,15.983337000000006,1
Scurriopsis,Pelsonian,0,3,3,3,1,3,3,9.046669000000001,15.983337000000006,1
Scythentolium,Griesbachian,1,41,41,9,7,5,41,58.169201,235.998055,1
Scythentolium,Dienerian,1,41,41,9,7,5,41,58.169201,235.998055,1
Scythentolium,Smithian,1,41,41,9,7,5,41,58.169201,235.998055,1
Scythentolium,Spathian,0,41,41,9,7,5,41,58.169201,235.998055,1
Scythentolium,Bithynian,0,41,41,9,7,5,41,58.169201,235.998055,1
Sedgwickia,Changhsingian,0,3,3,1,1,1,3,0.005001000000000033,0.0019989999999978636,0
Selenimyalina,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Selongthyris,Smithian,0,8,8,1,1,1,8,0.0,0.0,0
Sementiconcha,Smithian,1,6,6,4,3,2,6,1.9741440000000026,3.0150609999999887,0
Sementiconcha,Spathian,0,6,6,4,3,2,6,1.9741440000000026,3.0150609999999887,0
Semibrachythyrina,Changhsingian,0,2,2,1,1,1,2,22.464,5.229613999999998,0
Semiornites,Pelsonian,1,41,35,4,10,3,41,11.325279000000002,13.755832999999999,0
Semiornites,Illyrian,1,41,35,4,10,3,41,11.325279000000002,13.755832999999999,0
Septaliphorioidea,Pelsonian,0,30,30,4,2,2,30,2.1749990000000032,20.545554999999993,1
Septimyalina,Changhsingian,0,2,2,1,2,1,2,9.234002,29.848998999999992,0
Septospirigerella,Changhsingian,0,5,5,3,3,1,5,27.931665999999996,88.53332999999999,0
Serpianites,Illyrian,0,8,8,2,2,1,8,0.058723000000000525,0.13861100000000093,0
Shamaraites,Dienerian,1,5,5,4,4,2,5,14.492651000000002,60.638504,0
Shamaraites,Smithian,0,5,5,4,4,2,5,14.492651000000002,60.638504,0
Shangganites,Griesbachian,1,3,3,2,2,2,3,5.354111,2.4540020000000027,0
Shangganites,Dienerian,0,3,3,2,2,2,3,5.354111,2.4540020000000027,0
Shangsilites,Changhsingian,0,3,2,1,1,1,3,0.0,0.0,0
Shevyrevites,Changhsingian,0,48,42,5,6,1,48,16.345,64.400002,0
Shigetaceras,Smithian,0,11,11,4,5,1,11,15.116999,54.483329999999995,0
Shimanskyites,Smithian,0,8,8,2,2,1,8,0.2842979999999997,0.2736969999999985,0
Sibirites,Spathian,0,28,21,4,3,1,28,43.30999799999999,271.89666,0
Sichuanothyris,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Silberlingeria,Smithian,1,20,15,2,2,2,20,5.256999999999998,216.622002,0
Silberlingeria,Spathian,0,20,15,2,2,2,20,5.256999999999998,216.622002,0
Silberlingites,Aegean,0,7,4,2,1,1,7,0.010501999999995348,0.002998000000005163,0
Silberlingitoides,Illyrian,1,36,26,4,2,2,36,16.050559,225.23389400000002,0
Silesiathyris,Pelsonian,1,29,29,5,8,3,29,31.011111999999997,95.56,0
Silesiathyris,Illyrian,1,29,29,5,8,3,29,31.011111999999997,95.56,0
Simplicisulcus,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Sinbadiella,Smithian,0,4,4,2,2,1,4,0.7713889999999992,0.7219390000000061,0
Sinoceltites,Changhsingian,0,41,32,7,7,1,41,19.813999000000003,87.71099000000001,0
Sinoglottidia,Changhsingian,1,22,22,2,5,2,22,5.689997999999999,16.380004999999997,0
Sinoglottidia,Griesbachian,0,22,22,2,5,2,22,5.689997999999999,16.380004999999997,0
Sinolingularia,Griesbachian,0,45,45,3,4,1,45,7.137599999999999,16.380004999999997,0
Sinorhynchia,Pelsonian,0,2,2,2,1,1,2,0.010668000000002564,0.008667000000002645,0
Sinuarbullina,Griesbachian,1,4,4,3,3,2,4,49.128614999999996,100.61694299999999,0
Sinuarbullina,Dienerian,0,4,4,3,3,2,4,49.128614999999996,100.61694299999999,0
Sinucosta,Aegean,0,11,11,3,2,4,11,11.599998000000006,86.66999700000001,1
Sinucosta,Pelsonian,1,11,11,3,2,4,11,11.599998000000006,86.66999700000001,1
Sinucosta,Illyrian,1,11,11,3,2,4,11,11.599998000000006,86.66999700000001,1
Sinuitina,Changhsingian,0,7,7,2,2,1,7,6.609998000000001,32.671661,0
Sisenna,Bithynian,1,14,10,4,3,4,14,20.006218000000004,95.011034,0
Sisenna,Pelsonian,1,14,10,4,3,4,14,20.006218000000004,95.011034,0
Sisenna,Illyrian,1,14,10,4,3,4,14,20.006218000000004,95.011034,0
Solariconulus,Spathian,0,1,1,1,0,1,1,0.0,0.0,0
Solemya,Changhsingian,0,9,9,5,7,4,9,60.512777,91.675002,0
Solemya,Smithian,0,9,9,5,7,4,9,60.512777,91.675002,0
Solemya,Illyrian,1,9,9,5,7,4,9,60.512777,91.675002,0
Soleniscus,Changhsingian,0,21,19,4,4,2,21,15.327998999999998,220.10839099999998,0
Soleniscus,Smithian,0,21,19,4,4,2,21,15.327998999999998,220.10839099999998,0
Songzichonetes,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Sowerbina,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Speciothyris,Changhsingian,1,79,76,8,13,2,79,6.559543999999999,14.94416799999999,0
Speciothyris,Griesbachian,0,79,76,8,13,2,79,6.559543999999999,14.94416799999999,0
Spengleria,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Sphaera,Bithynian,0,2,2,2,1,2,2,38.103328000000005,139.212225,0
Sphaeriola,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Spinomarginifera,Changhsingian,1,403,250,10,31,2,403,29.468062,245.887497,0
Spinomarginifera,Griesbachian,0,403,250,10,31,2,403,29.468062,245.887497,0
Spinomartinia,Changhsingian,0,3,3,2,2,1,3,0.6104819999999975,1.4800419999999974,0
Spirelytha,Changhsingian,0,1,1,1,0,1,1,0.0,0.0,0
Spirifer,Changhsingian,0,6,6,3,3,2,6,27.324168,97.684169,0
Spiriferella,Changhsingian,0,61,55,4,8,1,61,79.32038800000001,149.753663,0
Spiriferellina,Changhsingian,0,19,16,5,5,1,19,34.770834,69.462502,0
Spiriferida,Changhsingian,0,2,2,1,2,2,2,13.535,49.036675,0
Spiriferida,Smithian,0,2,2,1,2,2,2,13.535,49.036675,0
Spiriferidae,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Spiriferidina,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Spiriferina,Griesbachian,0,29,23,7,8,5,29,106.87278,238.652221,1
Spiriferina,Smithian,0,29,23,7,8,5,29,106.87278,238.652221,1
Spiriferina,Pelsonian,1,29,23,7,8,5,29,106.87278,238.652221,1
Spiriferina,Illyrian,1,29,23,7,8,5,29,106.87278,238.652221,1
Spiriferinoidea,Changhsingian,0,5,5,2,2,1,5,75.342579,84.95739699999999,0
Spiriferoidea,Spathian,0,1,1,1,1,1,1,0.0,0.0,0
Spirigera,Pelsonian,0,16,14,2,1,2,16,56.818888,110.665837,1
Spirigerella,Changhsingian,0,79,53,6,7,1,79,17.889666,102.714703,0
Spirigerellina,Changhsingian,0,34,31,5,5,8,34,62.408196999999994,122.235001,0
Spirigerellina,Smithian,1,34,31,5,5,8,34,62.408196999999994,122.235001,0
Spirigerellina,Spathian,1,34,31,5,5,8,34,62.408196999999994,122.235001,0
Spirigerellina,Aegean,1,34,31,5,5,8,34,62.408196999999994,122.235001,0
Spirigerellina,Bithynian,1,34,31,5,5,8,34,62.408196999999994,122.235001,0
Spirigerellina,Pelsonian,1,34,31,5,5,8,34,62.408196999999994,122.235001,0
Spirigerellina,Illyrian,1,34,31,5,5,8,34,62.408196999999994,122.235001,0
Spirigerellinae,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Spirochrysalis,Spathian,0,3,3,2,1,2,3,9.046669000000001,15.983337000000006,0
Spirochrysalis,Pelsonian,0,3,3,2,1,2,3,9.046669000000001,15.983337000000006,0
Spiroscala,Changhsingian,0,3,3,1,2,1,3,0.019995999999999015,0.020995999999996684,0
Spirostylus,Bithynian,1,9,9,3,3,3,9,7.616669000000002,20.534995999999992,1
Spirostylus,Pelsonian,0,9,9,3,3,3,9,7.616669000000002,20.534995999999992,1
Spirovallum,Changhsingian,0,5,5,3,2,1,5,74.260688,89.104996,0
Squamularia,Changhsingian,0,22,22,5,8,1,22,13.751334,47.855003999999994,0
Stacheites,Spathian,0,17,12,3,3,2,17,10.110889,259.079872,0
Stachella,Changhsingian,1,3,3,2,3,2,3,20.622499,94.199725,0
Stachella,Griesbachian,0,3,3,2,3,2,3,20.622499,94.199725,0
Stacheoceras,Changhsingian,0,7,7,4,7,1,7,12.824998999999998,100.700997,0
Stannakhites,Bithynian,0,2,2,1,1,2,2,1.141387999999992,5.544167000000002,0
Steckites,Smithian,0,9,9,2,2,1,9,3.379002,7.947327000000001,0
Stenophyllites,Spathian,1,11,11,2,2,2,11,68.984998,249.645005,0
Stenophyllites,Aegean,0,11,11,2,2,2,11,68.984998,249.645005,0
Stenopopanoceras,Aegean,1,25,24,2,6,4,25,37.044999,278.995003,1
Stenopopanoceras,Bithynian,1,25,24,2,6,4,25,37.044999,278.995003,1
Stenopopanoceras,Pelsonian,0,25,24,2,6,4,25,37.044999,278.995003,1
Stenoscisma,Changhsingian,0,22,16,4,7,1,22,78.716172,97.18334999999999,0
Stepanoviella,Changhsingian,0,5,5,1,1,1,5,0.47000100000000344,2.389998999999989,0
Stephanites,Smithian,0,17,17,5,4,1,17,4.210000999999998,14.347999000000002,0
Stipulina,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Stoppaniceras,Illyrian,0,35,32,6,6,1,35,4.0105549999999965,10.105277999999998,0
Stoyanowites,Changhsingian,0,25,24,4,3,1,25,8.376459,7.5685689999999965,0
Straparella,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Straparollus,Changhsingian,0,6,6,4,4,2,6,15.008998999999996,34.742661,0
Straparollus,Pelsonian,0,6,6,4,4,2,6,15.008998999999996,34.742661,0
Streblochondria,Changhsingian,0,24,24,5,13,2,24,91.891171,158.16234699999998,0
Streblochondria,Smithian,0,24,24,5,13,2,24,91.891171,158.16234699999998,0
Streblopermia,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Streblopteria,Changhsingian,0,19,18,5,7,1,19,91.35499999999999,157.008996,0
Streblopterinella,Smithian,1,5,5,1,1,2,5,3.1380000000000052,19.760002,0
Streblopterinella,Spathian,0,5,5,1,1,2,5,3.1380000000000052,19.760002,0
Streptacis,Changhsingian,1,9,8,3,5,2,9,7.883557,221.579162,0
Streptacis,Griesbachian,0,9,8,3,5,2,9,7.883557,221.579162,0
Streptorhynchinae,Changhsingian,0,2,2,1,1,1,2,0.9200000000000017,1.2250060000000076,0
Streptorhynchus,Changhsingian,0,42,38,7,9,1,42,10.296667,45.449996999999996,0
Striacingulum,Illyrian,0,1,1,1,1,1,1,0.0,0.0,0
Striatospica,Changhsingian,0,2,2,2,1,1,2,2.8781,0.8141020000000054,0
Strigogoniatites,Changhsingian,0,3,3,2,1,1,3,0.0014000000000038426,0.0035019999999974516,0
Strobeus,Changhsingian,1,35,32,9,10,5,35,22.111221,246.117706,0
Strobeus,Griesbachian,1,35,32,9,10,5,35,22.111221,246.117706,0
Strobeus,Dienerian,1,35,32,9,10,5,35,22.111221,246.117706,0
Strobeus,Smithian,0,35,32,9,10,5,35,22.111221,246.117706,0
Strophalosia,Changhsingian,0,13,11,1,1,1,13,15.284001000000004,43.605003,0
Strophalosiidae,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Strophalosiina,Changhsingian,0,11,10,4,4,1,11,18.344998999999998,72.75,0
Strotostoma,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Stuoraxis,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Stuorella,Pelsonian,1,16,14,3,2,2,16,2.1272659999999988,8.861633,0
Stuorella,Illyrian,0,16,14,3,2,2,16,2.1272659999999988,8.861633,0
Sturia,Aegean,1,59,55,5,19,5,59,64.39399800000001,268.85799399999996,0
Sturia,Bithynian,1,59,55,5,19,5,59,64.39399800000001,268.85799399999996,0
Sturia,Pelsonian,1,59,55,5,19,5,59,64.39399800000001,268.85799399999996,0
Sturia,Illyrian,1,59,55,5,19,5,59,64.39399800000001,268.85799399999996,0
Stutchburia,Changhsingian,1,25,20,6,9,3,25,92.32819799999999,272.45916,0
Stutchburia,Griesbachian,1,25,20,6,9,3,25,92.32819799999999,272.45916,0
Stutchburia,Dienerian,0,25,20,6,9,3,25,92.32819799999999,272.45916,0
Subacerites,Dienerian,0,1,1,1,1,1,1,0.0,0.0,0
Subalbanites,Smithian,0,3,3,1,1,1,3,0.6483309999999989,0.1833340000000021,0
Subbalhaeceras,Smithian,0,2,2,2,1,1,2,0.0,0.0,0
Subcolumbites,Spathian,0,44,28,5,5,1,44,20.256999999999998,252.965599,0
Subeothinites,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Subfengshanites,Spathian,0,18,18,1,2,1,18,4.432300999999995,9.647095000000007,0
Subflemingites,Smithian,0,10,10,3,3,1,10,41.066112000000004,46.83749399999999,0
Subhungarites,Spathian,0,8,8,4,4,1,8,16.502000999999996,224.230003,0
Subinyoites,Dienerian,1,6,6,2,2,2,6,62.75,45.849998,0
Subinyoites,Smithian,0,6,6,2,2,2,6,62.75,45.849998,0
Submeekoceras,Dienerian,1,86,78,7,13,3,86,53.891089,250.474999,0
Submeekoceras,Smithian,1,86,78,7,13,3,86,53.891089,250.474999,0
Submeekoceras,Spathian,0,86,78,7,13,3,86,53.891089,250.474999,0
Subolenekites,Spathian,0,18,15,1,1,1,18,11.093329999999995,221.850006,0
Subowenites,Smithian,0,2,2,1,1,1,2,0.010002999999997542,0.039996999999999616,0
Subradioceras,Smithian,0,1,1,1,0,1,1,0.0,0.0,0
Subtilichonetes,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Subvishnuites,Smithian,1,33,32,9,7,2,33,53.666945,238.69667099999998,0
Subvishnuites,Spathian,0,33,32,9,7,2,33,53.666945,238.69667099999998,0
Sulcatinella,Spathian,0,42,35,5,7,4,42,26.612778,93.705556,1
Sulcatinella,Bithynian,1,42,35,5,7,4,42,26.612778,93.705556,1
Sulcatinella,Pelsonian,0,42,35,5,7,4,42,26.612778,93.705556,1
Sulcirugaria,Changhsingian,0,12,8,1,1,1,12,0.0,0.0,0
Sulcispiriferina,Changhsingian,0,4,4,2,1,1,4,0.9190010000000015,1.24600199999999,0
Sulioticeras,Spathian,0,12,12,3,6,2,12,21.242221999999998,265.05919700000004,0
Sutchanites,Changhsingian,0,5,5,1,1,1,5,0.0010000000000047748,0.000990999999999076,0
Svalbardiceras,Smithian,1,14,14,4,7,3,14,44.033333,255.416664,0
Svalbardiceras,Spathian,1,14,14,4,7,3,14,44.033333,255.416664,0
Svalbardiceras,Aegean,0,14,14,4,7,3,14,44.033333,255.416664,0
Syrella,Changhsingian,0,11,11,1,1,1,11,0.19999899999999826,0.16799899999999468,0
Syringothyrididae,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Syringothyridoidea,Changhsingian,0,1,1,1,0,1,1,0.0,0.0,0
Syringothyris,Changhsingian,0,3,3,1,1,1,3,0.5300009999999986,0.3600009999999969,0
Taeniothaerus,Changhsingian,0,4,4,2,1,1,4,0.3489990000000027,1.0210039999999907,0
