genus,Changhsingian,Griesbachian,Dienerian,Smithian,Spathian,Aegean,Bithynian,Pelsonian,Illyrian,Anisian
Dicosmos,0,0,0,0,0,0,0,1,0,0
Dictyoclostinae,1,0,0,0,0,0,0,0,0,0
Dictyoclostus,1,0,0,0,0,0,0,0,0,0
Dictyotomaria,1,0,0,0,0,0,0,1,0,0
Dielasma,1,0,0,0,0,0,0,0,0,0
Dielasmatidae,1,0,0,0,0,0,0,0,0,0
Dielasmatoidea,1,0,0,0,0,0,0,0,0,0
Dieneroceras,1,0,1,1,1,0,0,0,0,0
Diholkorhynchia,0,0,0,0,0,1,0,1,0,1
Dimorphoconcha,0,0,0,0,1,0,0,0,0,0
Dimorphotomaria,0,0,0,0,0,0,1,0,1,0
Dinarispira,0,0,0,0,0,0,1,1,1,1
Dinarites,0,0,1,1,1,0,0,0,0,1
Dioristella,0,0,0,0,1,0,0,0,0,0
Diplochilus,0,0,0,0,1,0,0,0,0,0
Diplospirella,0,0,0,0,0,0,0,0,0,1
Discina,0,1,0,0,0,0,0,1,0,0
Discinisca,0,0,0,0,1,0,0,1,0,1
Discoceratites,0,0,0,0,0,0,0,0,1,1
Discogymnites,0,0,0,0,0,1,0,0,0,0
Discohelicidae,0,0,0,0,0,0,0,1,0,0
Discohelix,0,0,0,0,0,0,0,1,0,1
Discophiceras,0,1,0,0,0,0,0,0,0,0
Discoproptychites,0,0,0,1,0,0,0,0,0,0
Discoptychites,0,0,0,0,0,1,1,1,1,1
Discotoma,0,0,0,0,0,0,0,0,0,1
Dixieceras,0,0,0,0,0,0,0,0,1,0
Dolponella,1,0,0,0,0,0,0,0,0,0
Donaldina,1,1,0,0,1,0,0,0,0,0
Donaldospira,1,0,0,0,0,0,0,0,0,0
Dorikranites,0,0,0,0,1,0,0,0,0,0
Dunbarella,1,0,0,0,0,0,0,0,0,0
Dunedinites,0,1,1,1,0,0,0,0,0,0
Durgaites,0,0,0,0,0,0,0,0,0,1
Dushanoceras,1,0,0,0,0,0,0,0,0,0
Dyasmya,1,0,0,0,0,0,0,0,0,0
Dystactella,1,0,0,0,0,0,0,0,0,0
Dzhulfites,1,0,0,0,0,0,0,0,0,0
Dzhulfitidae,1,0,0,0,0,0,0,0,0,0
Dzhulfoceras,1,0,0,0,0,0,0,0,0,0
Echinalosia,1,0,0,0,0,0,0,0,0,0
Echinauriella,1,0,0,0,0,0,0,0,0,0
